"Order ID","Date","Status","Products","Total"
"1781619180120","2026-06-16 05:13:00","Confirmed","Beef Steak x1","12.99"
"1781619186036","2026-06-16 05:13:06","Confirmed","Beef Steak x1","12.99"
"1781619190687","2026-06-16 05:13:10","Confirmed","Beef Steak x1","12.99"
"1781619194510","2026-06-16 05:13:14","Confirmed","Beef Steak x1","12.99"
"1781619197205","2026-06-16 05:13:17","Confirmed","Beef Steak x1","12.99"
"1781619199487","2026-06-16 05:13:19","Confirmed","Beef Steak x1","12.99"
"1781619201917","2026-06-16 05:13:21","Confirmed","Beef Steak x1","12.99"
"1781619204949","2026-06-16 05:13:24","Confirmed","Beef Steak x1","12.99"
"1781619208170","2026-06-16 05:13:28","Confirmed","Beef Steak x1","12.99"
"1781619210464","2026-06-16 05:13:30","Confirmed","Beef Steak x1","12.99"
"1781619212946","2026-06-16 05:13:32","Confirmed","Beef Steak x1","12.99"
"1781619215899","2026-06-16 05:13:35","Confirmed","Beef Steak x1","12.99"
"1781619217834","2026-06-16 05:13:37","Confirmed","Beef Steak x1","12.99"
"1781619219800","2026-06-16 05:13:39","Confirmed","Beef Steak x1","12.99"
"1781619221683","2026-06-16 05:13:41","Confirmed","Beef Steak x1","12.99"
"1781619223710","2026-06-16 05:13:43","Confirmed","Beef Steak x1","12.99"
"1781619226846","2026-06-16 05:13:46","Confirmed","Beef Steak x1","12.99"
"1781619229192","2026-06-16 05:13:49","Confirmed","Beef Steak x1","12.99"
"1781619231442","2026-06-16 05:13:51","Confirmed","Beef Steak x1","12.99"
"1781619233380","2026-06-16 05:13:53","Confirmed","Beef Steak x1","12.99"
"1781619235702","2026-06-16 05:13:55","Confirmed","Beef Steak x1","12.99"
"1781619237983","2026-06-16 05:13:57","Confirmed","Beef Steak x1","12.99"
"1781619240150","2026-06-16 05:14:00","Confirmed","Beef Steak x1","12.99"
"1781619242314","2026-06-16 05:14:02","Confirmed","Beef Steak x1","12.99"
"1781619244217","2026-06-16 05:14:04","Confirmed","Beef Steak x1","12.99"
"1781619246022","2026-06-16 05:14:06","Confirmed","Beef Steak x1","12.99"
"1781619247978","2026-06-16 05:14:07","Confirmed","Beef Steak x1","12.99"
"1781619249436","2026-06-16 05:14:09","Confirmed","Beef Steak x1","12.99"
"1781619250990","2026-06-16 05:14:10","Confirmed","Beef Steak x1","12.99"
"1781619252498","2026-06-16 05:14:12","Confirmed","Beef Steak x1","12.99"
"1781619254226","2026-06-16 05:14:14","Confirmed","Beef Steak x1","12.99"
"1781619255608","2026-06-16 05:14:15","Confirmed","Beef Steak x1","12.99"
"1781619257054","2026-06-16 05:14:17","Confirmed","Beef Steak x1","12.99"
"1781619258494","2026-06-16 05:14:18","Confirmed","Beef Steak x1","12.99"
"1781619259918","2026-06-16 05:14:19","Confirmed","Beef Steak x1","12.99"
"1781619261243","2026-06-16 05:14:21","Confirmed","Beef Steak x1","12.99"
"1781619262665","2026-06-16 05:14:22","Confirmed","Beef Steak x1","12.99"
"1781619264094","2026-06-16 05:14:24","Confirmed","Beef Steak x1","12.99"
"1781619265551","2026-06-16 05:14:25","Confirmed","Beef Steak x1","12.99"
"1781619266814","2026-06-16 05:14:26","Confirmed","Beef Steak x1","12.99"
"1781619268313","2026-06-16 05:14:28","Confirmed","Beef Steak x1","12.99"
"1781619269804","2026-06-16 05:14:29","Confirmed","Beef Steak x1","12.99"
"1781619271121","2026-06-16 05:14:31","Confirmed","Beef Steak x1","12.99"
"1781619272697","2026-06-16 05:14:32","Confirmed","Beef Steak x1","12.99"
"1781619274427","2026-06-16 05:14:34","Confirmed","Beef Steak x1","12.99"
"1781619276035","2026-06-16 05:14:36","Confirmed","Beef Steak x1","12.99"
"1781619277688","2026-06-16 05:14:37","Confirmed","Beef Steak x1","12.99"
"1781619279233","2026-06-16 05:14:39","Confirmed","Beef Steak x1","12.99"
"1781619281100","2026-06-16 05:14:41","Confirmed","Beef Steak x1","12.99"
"1781619282272","2026-06-16 05:14:42","Confirmed","Beef Steak x1","12.99"
"1781619283339","2026-06-16 05:14:43","Confirmed","Beef Steak x1","12.99"
"1781619284385","2026-06-16 05:14:44","Confirmed","Beef Steak x1","12.99"
"1781619285447","2026-06-16 05:14:45","Confirmed","Beef Steak x1","12.99"
"1781619286602","2026-06-16 05:14:46","Confirmed","Beef Steak x1","12.99"
"1781619287920","2026-06-16 05:14:47","Confirmed","Beef Steak x1","12.99"
"1781619289173","2026-06-16 05:14:49","Confirmed","Beef Steak x1","12.99"
"1781619290217","2026-06-16 05:14:50","Confirmed","Beef Steak x1","12.99"
"1781619291415","2026-06-16 05:14:51","Confirmed","Beef Steak x1","12.99"
"1781619292863","2026-06-16 05:14:52","Confirmed","Beef Steak x1","12.99"
"1781619294145","2026-06-16 05:14:54","Confirmed","Beef Steak x1","12.99"
"1781619295535","2026-06-16 05:14:55","Confirmed","Beef Steak x1","12.99"
"1781619297145","2026-06-16 05:14:57","Confirmed","Beef Steak x1","12.99"
"1781619298674","2026-06-16 05:14:58","Confirmed","Beef Steak x1","12.99"
"1781619300320","2026-06-16 05:15:00","Confirmed","Beef Steak x1","12.99"
"1781619301764","2026-06-16 05:15:01","Confirmed","Beef Steak x1","12.99"
"1781619303152","2026-06-16 05:15:03","Confirmed","Beef Steak x1","12.99"
"1781619304493","2026-06-16 05:15:04","Confirmed","Beef Steak x1","12.99"
"1781619305996","2026-06-16 05:15:05","Confirmed","Beef Steak x1","12.99"
"1781619307379","2026-06-16 05:15:07","Confirmed","Beef Steak x1","12.99"
"1781619308780","2026-06-16 05:15:08","Confirmed","Beef Steak x1","12.99"
"1781619309991","2026-06-16 05:15:09","Confirmed","Beef Steak x1","12.99"
"1781619311293","2026-06-16 05:15:11","Confirmed","Beef Steak x1","12.99"
"1781619312481","2026-06-16 05:15:12","Confirmed","Beef Steak x1","12.99"
"1781619313635","2026-06-16 05:15:13","Confirmed","Beef Steak x1","12.99"
"1781619314828","2026-06-16 05:15:14","Confirmed","Beef Steak x1","12.99"
"1781619316015","2026-06-16 05:15:16","Confirmed","Beef Steak x1","12.99"
"1781619317264","2026-06-16 05:15:17","Confirmed","Beef Steak x1","12.99"
"1781619318311","2026-06-16 05:15:18","Confirmed","Beef Steak x1","12.99"
"1781619319217","2026-06-16 05:15:19","Confirmed","Beef Steak x1","12.99"
"1781619320340","2026-06-16 05:15:20","Confirmed","Beef Steak x1","12.99"
"1781619321429","2026-06-16 05:15:21","Confirmed","Beef Steak x1","12.99"
"1781619322408","2026-06-16 05:15:22","Confirmed","Beef Steak x1","12.99"
"1781619323472","2026-06-16 05:15:23","Confirmed","Beef Steak x1","12.99"
"1781619324609","2026-06-16 05:15:24","Confirmed","Beef Steak x1","12.99"
"1781619325759","2026-06-16 05:15:25","Confirmed","Beef Steak x1","12.99"
"1781619326782","2026-06-16 05:15:26","Confirmed","Beef Steak x1","12.99"
"1781619327903","2026-06-16 05:15:27","Confirmed","Chicken Meat x1","9.99"
"1781619329201","2026-06-16 05:15:29","Confirmed","Chicken Meat x1","9.99"
"1781619329987","2026-06-16 05:15:29","Confirmed","Chicken Meat x1","9.99"
"1781619330826","2026-06-16 05:15:30","Confirmed","Chicken Meat x1","9.99"
"1781619331701","2026-06-16 05:15:31","Confirmed","Chicken Meat x1","9.99"
"1781619332726","2026-06-16 05:15:32","Confirmed","Chicken Meat x1","9.99"
"1781619333899","2026-06-16 05:15:33","Confirmed","Chicken Meat x1","9.99"
"1781619334827","2026-06-16 05:15:34","Confirmed","Chicken Meat x1","9.99"
"1781619335894","2026-06-16 05:15:35","Confirmed","Chicken Meat x1","9.99"
"1781619336947","2026-06-16 05:15:36","Confirmed","Chicken Meat x1","9.99"
"1781619338121","2026-06-16 05:15:38","Confirmed","Chicken Meat x1","9.99"
"1781619339128","2026-06-16 05:15:39","Confirmed","Chicken Meat x1","9.99"
"1781619340333","2026-06-16 05:15:40","Confirmed","Chicken Meat x1","9.99"